Probe;Nitrat+Nitrit_ug_l;Nitrat+Nitrit_umol_l;Silikat_ug_l;Silikat_umol_l;Phosphat__ug_l;Phosphat_umol_l;Tag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P6;0,74;0,01;515,04;18,34;8,11;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994964;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P7;0,69;0,01;494,66;17,61;9,74;0,10;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994965;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P8;2,26;0,04;450,27;16,03;14,49;0,15;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994966;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P9;0,82;0,01;450,45;16,04;8,55;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994967;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P10;0,82;0,01;463,45;16,50;8,33;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994968;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P11;1,20;0,02;408,91;14,56;8,26;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994969;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P12;0,93;0,01;240,44;8,56;8,11;0,09;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994970;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P1;10,52;0,17;413,52;14,72;8,09;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994971;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P2;0,16;0,00;373,10;13,28;8,14;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994972;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P3;4,00;0,06;532,65;18,97;8,25;0,09;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994973;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P4;3,09;0,05;600,47;21,38;11,83;0,12;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994974;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
P5;0,98;0,02;450,81;16,05;8,01;0,08;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150994975;0;32;600;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
